matchday,date,home_team_pos,home_team,away_team_pos,away_team,result,available,goal,assist,autogoal,yellow_card,double_yellow_card,red_card,substitution_on,substitution_off,minutes,penalty_kicker,home_match,score,grade,penalty_scored,penalty_kick,starter,postponed,difficulty_match,deployability
1,21/set/2020,5,Milan,12,Bologna,2:0,Available,0,0,0,False,False,False,,57,57,True,False,5.0,5.0,0,0,True,False,5,False
2,28/set/2020,13,Bologna,14,Parma,4:1,Available,0,0,0,False,False,False,90,,1,True,True,,,0,0,False,False,2,False
3,04/ott/2020,12,Benevento,8,Bologna,1:0,Available,0,0,0,False,False,False,67,,23,True,False,6.0,6.0,0,0,False,False,3,True
4,18/ott/2020,11,Bologna,3,Sassuolo,3:4,Available,1,0,0,False,False,False,,,90,True,True,9.0,5.5,0,0,True,False,3,True
5,24/ott/2020,15,Lazio,16,Bologna,2:1,Available,0,0,0,False,False,False,,81,81,True,False,6.0,6.0,0,0,True,False,4,False
6,31/ott/2020,18,Bologna,11,Cagliari,3:2,Available,0,1,0,False,False,False,,,90,True,True,7.5,6.5,0,0,True,False,2,True
7,08/nov/2020,13,Bologna,3,Napoli,0:1,Available,0,0,0,False,False,False,,,90,True,True,5.5,5.5,0,0,True,False,4,False
8,22/nov/2020,10,Sampdoria,14,Bologna,1:2,Available,1,1,0,False,False,False,,86,86,True,False,10.5,7.0,0,0,True,False,4,True
9,29/nov/2020,12,Bologna,20,Crotone,1:0,Available,0,0,0,False,False,False,,18,18,True,True,6.0,6.0,0,0,True,False,2,True
10,05/dic/2020,3,Inter,10,Bologna,3:1,Infortunio al bicipite femorale,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,5,False
11,13/dic/2020,10,Bologna,6,Roma,1:5,Infortunio al bicipite femorale,0,0,0,False,False,False,,,0,False,True,,,0,0,False,False,4,False
12,16/dic/2020,16,Spezia,12,Bologna,2:2,Infortunio al bicipite femorale,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
13,20/dic/2020,19,Torino,13,Bologna,1:1,Infortunio al bicipite femorale,0,0,0,False,False,False,,,0,False,False,,,0,0,False,False,3,False
14,23/dic/2020,14,Bologna,7,Atalanta,2:2,Available,0,1,0,False,False,False,65,,25,True,True,8.0,7.0,0,0,False,False,4,True
15,03/gen/2021,14,Fiorentina,13,Bologna,0:0,Available,0,0,0,False,False,False,,75,75,True,False,6.0,6.0,0,0,True,False,3,True
16,06/gen/2021,12,Bologna,13,Udinese,2:2,Available,0,1,0,False,False,False,,76,76,True,True,7.0,6.0,0,0,True,False,3,True
17,09/gen/2021,19,Genoa,12,Bologna,2:0,Available,0,0,0,False,False,False,,74,74,True,False,5.0,5.0,0,0,True,False,3,False
18,16/gen/2021,14,Bologna,9,Verona,1:0,Available,1,0,0,False,False,False,,76,76,True,True,10.5,7.0,1,1,True,False,3,True
19,24/gen/2021,3,Juventus,12,Bologna,2:0,Available,0,0,0,False,False,False,,76,76,True,False,6.0,6.0,0,0,True,False,5,False
20,30/gen/2021,13,Bologna,1,Milan,1:2,Available,0,0,0,False,False,False,,67,67,True,True,6.0,6.0,0,0,True,False,4,True
21,07/feb/2021,19,Parma,15,Bologna,0:3,Available,1,0,0,False,False,False,67,,23,True,False,10.0,6.5,0,0,False,False,3,True
22,12/feb/2021,13,Bologna,14,Benevento,1:1,Available,0,0,0,False,False,False,72,,18,True,True,5.0,5.0,0,0,False,False,3,False
23,20/feb/2021,8,Sassuolo,12,Bologna,1:1,Available,0,0,0,False,False,False,,62,62,True,False,6.0,6.0,0,0,True,False,4,False
24,27/feb/2021,12,Bologna,6,Lazio,2:0,Available,0,0,0,False,False,False,,74,74,True,True,6.5,6.5,0,0,True,False,4,True
25,03/mar/2021,18,Cagliari,11,Bologna,1:0,Available,0,0,0,False,False,False,,64,64,True,False,5.0,5.0,0,0,True,False,3,False
26,07/mar/2021,6,Napoli,12,Bologna,3:1,Available,0,0,0,False,False,False,76,,14,True,False,5.5,5.5,0,0,False,False,4,False
27,14/mar/2021,12,Bologna,10,Sampdoria,3:1,Available,0,0,0,False,False,False,84,,6,True,True,,,0,0,False,False,3,False
28,20/mar/2021,20,Crotone,12,Bologna,2:3,Available,0,0,0,False,False,False,,46,45,True,False,5.0,5.0,0,0,True,False,3,False
29,03/apr/2021,11,Bologna,1,Inter,0:1,Available,0,0,0,False,False,False,80,,10,True,True,5.5,5.5,0,0,False,False,4,False
30,11/apr/2021,7,Roma,11,Bologna,1:0,Available,0,0,0,False,False,False,60,,30,True,False,5.0,5.0,0,0,False,False,4,False
